provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
prometheus,baseline,1501,53178,gzip,0.009917832998326048,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004662124993046746,175505,34,2026-08-02T11:48:24+00:00
loki,baseline,974,7043,gzip,0.010496041009901091,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.0030149999947752804,18489,34,2026-08-02T11:48:24+00:00
tempo,baseline,721,721,identity,0.013376875023823231,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003541249898262322,5538,34,2026-08-02T11:48:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.04011987606645562,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0014595829998143017,57889,35,2026-08-02T11:48:54+00:00
prometheus,baseline,1501,53178,gzip,0.00906000001123175,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004335875011747703,175505,35,2026-08-02T11:48:54+00:00
loki,baseline,976,7044,gzip,0.013522624998586252,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.003922083007637411,15951,35,2026-08-02T11:48:54+00:00
tempo,baseline,721,721,identity,0.012380875006783754,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0006667079869657755,5538,35,2026-08-02T11:48:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.035259999975096434,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.001518709002994001,57889,36,2026-08-02T11:49:24+00:00
prometheus,baseline,1502,53178,gzip,0.011077125003794208,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0042721659992821515,175505,36,2026-08-02T11:49:24+00:00
loki,baseline,976,7044,gzip,0.013305375003255904,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0028407080098986626,15951,36,2026-08-02T11:49:24+00:00
tempo,baseline,721,721,identity,0.013410915998974815,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0002959999837912619,5538,36,2026-08-02T11:49:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.04208987392485142,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015764579875394702,57889,37,2026-08-02T11:49:54+00:00
prometheus,baseline,1502,53178,gzip,0.010454457980813459,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004513040999881923,175505,37,2026-08-02T11:49:54+00:00
loki,baseline,979,7045,gzip,0.01972895802464336,200,7044,14161,14279,20,20,4,4,1.0,True,accepted,0.0032005420071072876,16213,37,2026-08-02T11:49:54+00:00
tempo,baseline,721,721,identity,0.01110579099622555,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003145409864373505,5538,37,2026-08-02T11:49:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.030289582995465025,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.00154341702000238,57889,38,2026-08-02T11:50:24+00:00
